epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.78,1.65046,2.02751,1.26799,0.58158,0.56465,0.48673,0.21058,1.70896,1.55703,1.34017,0.000665425,0.000665425,0.000665425
2,235.16,1.72958,1.32713,1.32088,0.71281,0.63906,0.67863,0.29572,1.71227,1.25266,1.32112,0.00126615,0.00126615,0.00126615
3,348.872,1.7161,1.2962,1.32116,0.68901,0.60776,0.61796,0.28985,1.68582,1.33351,1.30843,0.00180088,0.00180088,0.00180088
4,462.248,1.67102,1.2285,1.28637,0.76664,0.63764,0.71543,0.3393,1.64534,1.18145,1.2938,0.001703,0.001703,0.001703
5,576.103,1.61668,1.14801,1.25936,0.76998,0.70947,0.74708,0.37519,1.5556,1.03871,1.25667,0.001604,0.001604,0.001604
6,698.176,1.57063,1.09181,1.2423,0.78356,0.75028,0.77953,0.38756,1.56133,0.97093,1.27637,0.001505,0.001505,0.001505
7,813.041,1.56727,1.03983,1.23757,0.82378,0.74825,0.78956,0.40257,1.51047,0.92104,1.23262,0.001406,0.001406,0.001406
8,927.701,1.54026,1.0006,1.2296,0.83294,0.76478,0.80106,0.40852,1.50204,0.91256,1.22146,0.001307,0.001307,0.001307
9,1042.93,1.50709,0.9666,1.20897,0.83027,0.76987,0.80661,0.41856,1.51313,0.89707,1.22007,0.001208,0.001208,0.001208
10,1156.74,1.48626,0.94064,1.2005,0.85077,0.76669,0.82975,0.44012,1.44935,0.84835,1.20988,0.001109,0.001109,0.001109
11,1269.42,1.5073,0.89438,1.21446,0.82171,0.75969,0.80639,0.4056,1.52404,0.87063,1.23998,0.00101,0.00101,0.00101
12,1381.16,1.48955,0.8685,1.20654,0.82616,0.77622,0.82476,0.4351,1.46317,0.85885,1.19308,0.000911,0.000911,0.000911
13,1492.5,1.4538,0.84058,1.18822,0.83404,0.77633,0.82668,0.42794,1.47137,0.83784,1.22028,0.000812,0.000812,0.000812
14,1602.94,1.43159,0.81654,1.17408,0.83991,0.81047,0.8558,0.46109,1.4139,0.78608,1.17884,0.000713,0.000713,0.000713
15,1721.87,1.41383,0.78438,1.17932,0.85018,0.8042,0.85899,0.46399,1.42126,0.75705,1.19035,0.000614,0.000614,0.000614
16,1832.3,1.40649,0.78678,1.16788,0.8402,0.8061,0.8547,0.46693,1.40115,0.7589,1.17128,0.000515,0.000515,0.000515
17,1943.31,1.37945,0.75456,1.15151,0.84462,0.79784,0.85826,0.46681,1.40565,0.74866,1.1793,0.000416,0.000416,0.000416
18,2054.81,1.36636,0.72786,1.15221,0.82817,0.81627,0.85672,0.4718,1.38187,0.73317,1.16506,0.000317,0.000317,0.000317
19,2165.97,1.35032,0.70846,1.13505,0.84542,0.81627,0.86526,0.48161,1.36996,0.72911,1.16292,0.000218,0.000218,0.000218
20,2277.63,1.33483,0.69534,1.13919,0.85342,0.82539,0.87031,0.48112,1.36989,0.71556,1.15677,0.000119,0.000119,0.000119
